Case ID,Label,Duration_2_M,Duration_2_S,Duration_2_L,Duration_2_LL,Cumduration_5_S,Cumduration_5_M,Cumduration_5_L,Cumduration_5_LL,Duration_3_M,Duration_3_L,Duration_3_LL,Cumduration_3_M,Cumduration_3_S,Cumduration_3_L,Cumduration_3_LL,Duration_5_M,Duration_5_S,Duration_5_L,Duration_5_LL,Duration_4_S,Duration_4_M,Duration_4_L,Duration_4_LL,Cumduration_2_M,Cumduration_2_S,Cumduration_2_L,Cumduration_2_LL,Cumduration_4_S,Cumduration_4_M,Cumduration_4_L,Cumduration_4_LL
AEA,1,1.0,0.0,0.0,0.0,0.26517999999999997,0.73482,0.0,0.0,1.0,0.0,0.0,0.97431,0.02568999999999999,0.0,0.0,0.9990600000000001,0.0009399999999999409,0.0,0.0,0.11218000000000039,0.8878199999999996,0.0,0.0,1.0,0.0,0.0,0.0,0.16518999999999995,0.83481,0.0,0.0
AF,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
AFA,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9990600000000001,0.0009399999999999409,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
AGA,0,1.0,0.0,0.0,0.0,0.0008499999999997954,0.9991500000000002,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9990600000000001,0.0009399999999999409,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
AH,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9990600000000001,0.0009399999999999409,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
AHA,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9588100000000002,0.04118999999999984,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
AI,0,0.8529900000000001,0.14700999999999986,0.0,0.0,0.23214999999999986,0.7678500000000001,0.0,0.0,1.0,0.0,0.0,0.7638900000000004,0.2361099999999996,0.0,0.0,0.9990600000000001,0.0009399999999999409,0.0,0.0,0.0,1.0,0.0,0.0,0.8529900000000001,0.14700999999999986,0.0,0.0,0.12927999999999962,0.8707200000000004,0.0,0.0
AIA,0,0.99051,0.009489999999999998,0.0,0.0,0.46731999999999996,0.53268,0.0,0.0,1.0,0.0,0.0,0.9816000000000003,0.01839999999999975,0.0,0.0,0.9990600000000001,0.0009399999999999409,0.0,0.0,0.9884200000000001,0.011579999999999924,0.0,0.0,0.99051,0.009489999999999998,0.0,0.0,0.38505999999999974,0.6149400000000003,0.0,0.0
AJ,0,1.0,0.0,0.0,0.0,0.18949000000000016,0.8105099999999998,0.0,0.0,1.0,0.0,0.0,0.9563099999999998,0.04369000000000023,0.0,0.0,0.9990600000000001,0.0009399999999999409,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08293000000000017,0.9170699999999998,0.0,0.0
AK,1,0.8834999999999997,0.11650000000000027,0.0,0.0,0.37066,0.62934,0.0,0.0,1.0,0.0,0.0,0.8021400000000001,0.19785999999999992,0.0,0.0,1.0,0.0,0.0,0.0,0.9489100000000001,0.05108999999999986,0.0,0.0,0.8834999999999997,0.11650000000000027,0.0,0.0,0.5446300000000002,0.45536999999999983,0.0,0.0
AL,0,0.9140100000000002,0.08598999999999979,0.0,0.0,0.3562599999999998,0.6437400000000002,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9990600000000001,0.0009399999999999409,0.0,0.0,0.9884200000000001,0.011579999999999924,0.0,0.0,0.9140100000000002,0.08598999999999979,0.0,0.0,0.26427999999999985,0.7357200000000002,0.0,0.0
ALA,0,0.91221,0.08779000000000003,0.0,0.0,0.6124900000000002,0.3875099999999998,0.0,0.0,1.0,0.0,0.0,0.8043899999999997,0.19561000000000028,0.0,0.0,1.0,0.0,0.0,0.0,0.9588100000000002,0.04118999999999984,0.0,0.0,0.91221,0.08779000000000003,0.0,0.0,0.54508,0.45492,0.0,0.0
AMA,0,0.7925100000000009,0.0,0.20748999999999906,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9990600000000001,0.0009399999999999409,0.0,0.0,0.8349700000000002,0.1650299999999998,0.0,0.0,0.7925100000000009,0.0,0.20748999999999906,0.0,0.0,1.0,0.0,0.0
AN,1,1.0,0.0,0.0,0.0,0.026319999999999677,0.9736800000000003,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9990600000000001,0.0009399999999999409,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ANA,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9990600000000001,0.0009399999999999409,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
AO,0,1.0,0.0,0.0,0.0,0.0,0.0,0.37205000000000066,0.6279499999999993,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
AP,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5795700000000004,0.42042999999999964,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
AQ,0,0.8808000000000002,0.11919999999999975,0.0,0.0,0.40378000000000025,0.5962199999999998,0.0,0.0,1.0,0.0,0.0,0.7832400000000002,0.21675999999999984,0.0,0.0,0.9990600000000001,0.0009399999999999409,0.0,0.0,0.0,1.0,0.0,0.0,0.8808000000000002,0.11919999999999975,0.0,0.0,0.31594000000000033,0.6840599999999997,0.0,0.0
AR,0,1.0,0.0,0.0,0.0,0.04198000000000013,0.9580199999999999,0.0,0.0,1.0,0.0,0.0,0.8728799999999999,0.12712000000000012,0.0,0.0,0.9990600000000001,0.0009399999999999409,0.0,0.0,0.0,0.7438200000000004,0.25617999999999963,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
AS,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.8890799999999999,0.11092000000000013,0.0,0.0,0.9990600000000001,0.0009399999999999409,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
AT,1,1.0,0.0,0.0,0.0,0.2801199999999997,0.7198800000000003,0.0,0.0,1.0,0.0,0.0,0.8807100000000001,0.1192899999999999,0.0,0.0,0.9990600000000001,0.0009399999999999409,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.18148000000000009,0.8185199999999999,0.0,0.0
AU,0,0.8942100000000002,0.10578999999999983,0.0,0.0,0.6235599999999999,0.3764400000000001,0.0,0.0,1.0,0.0,0.0,0.79053,0.20947000000000005,0.0,0.0,1.0,0.0,0.0,0.0,0.9489100000000001,0.05108999999999986,0.0,0.0,0.8942100000000002,0.10578999999999983,0.0,0.0,0.5556100000000002,0.44438999999999984,0.0,0.0
AV,0,1.0,0.0,0.0,0.0,0.07600000000000007,0.9239999999999999,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8835899999999999,0.0,0.11641000000000012,0.0,0.9884200000000001,0.011579999999999924,0.0,0.0,1.0,0.0,0.0,0.0,0.3180999999999998,0.6819000000000002,0.0,0.0
AW,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9990600000000001,0.0009399999999999409,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
AX,1,1.0,0.0,0.0,0.0,0.3924400000000001,0.6075599999999999,0.0,0.0,1.0,0.0,0.0,0.9159899999999999,0.08401000000000014,0.0,0.0,0.9990600000000001,0.0009399999999999409,0.0,0.0,0.4379799999999996,0.5620200000000004,0.0,0.0,1.0,0.0,0.0,0.0,0.30360999999999994,0.6963900000000001,0.0,0.0
AY,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9636,0.03639999999999999,0.0,0.0,0.10707000000000111,0.0,0.8929299999999989,0.0,0.9884200000000001,0.011579999999999924,0.0,0.0,1.0,0.0,0.0,0.0,0.40215999999999985,0.5978400000000001,0.0,0.0
AZ,0,1.0,0.0,0.0,0.0,0.0,0.95676,0.043239999999999945,0.0,1.0,0.0,0.0,0.9944699999999997,0.0,0.005530000000000257,0.0,0.9990600000000001,0.0009399999999999409,0.0,0.0,0.0,0.49092,0.50908,0.0,1.0,0.0,0.0,0.0,0.0,0.7537200000000004,0.2462799999999996,0.0
B,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9990600000000001,0.0009399999999999409,0.0,0.0,0.9884200000000001,0.011579999999999924,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BA,0,0.6904500000000002,0.0,0.30954999999999977,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9489100000000001,0.05108999999999986,0.0,0.0,0.6904500000000002,0.0,0.30954999999999977,0.0,0.0,1.0,0.0,0.0
BAA,0,1.0,0.0,0.0,0.0,0.11443000000000003,0.88557,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9990600000000001,0.0009399999999999409,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0013000000000000789,0.9986999999999999,0.0,0.0
BB,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9990600000000001,0.0009399999999999409,0.0,0.0,0.0,0.018060000000000187,0.9819399999999998,0.0,1.0,0.0,0.0,0.0,0.0,0.8839500000000005,0.11604999999999954,0.0
BBA,0,1.0,0.0,0.0,0.0,0.03234999999999966,0.9676500000000003,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9990600000000001,0.0009399999999999409,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BCA,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9092199999999999,0.09078000000000008,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BD,0,1.0,0.0,0.0,0.0,0.0,0.39498000000000033,0.6050199999999997,0.0,0.5693999999999999,0.4306000000000001,0.0,0.699180000000001,0.0,0.300819999999999,0.0,0.0,0.0,1.0,0.0,0.21378999999999992,0.7862100000000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8948400000000003,0.1051599999999997,0.0
BDA,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9120300000000001,0.08796999999999988,0.0,0.0,0.9990600000000001,0.0009399999999999409,0.0,0.0,0.0,0.0,0.4274900000000015,0.5725099999999985,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BE,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9990600000000001,0.0009399999999999409,0.0,0.0,0.0,0.6560700000000006,0.3439299999999994,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BEA,1,0.7754099999999999,0.22459000000000007,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.7090799999999997,0.2909200000000003,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7754099999999999,0.22459000000000007,0.0,0.0,0.0,1.0,0.0,0.0
BF,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.95485,0.04515000000000002,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BFA,1,0.7754099999999999,0.22459000000000007,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7754099999999999,0.22459000000000007,0.0,0.0,0.0,0.0,0.0,1.0
BG,0,0.9185099999999999,0.08149000000000006,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9990600000000001,0.0009399999999999409,0.0,0.0,0.0,0.7846800000000007,0.2153199999999993,0.0,0.9185099999999999,0.08149000000000006,0.0,0.0,0.0,1.0,0.0,0.0
BGA,0,1.0,0.0,0.0,0.0,0.16077999999999992,0.8392200000000001,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9884200000000001,0.011579999999999924,0.0,0.0,1.0,0.0,0.0,0.0,0.2621199999999999,0.7378800000000001,0.0,0.0
BH,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9990600000000001,0.0009399999999999409,0.0,0.0,0.009849999999999692,0.9901500000000003,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BHA,0,1.0,0.0,0.0,0.0,0.3145899999999999,0.6854100000000001,0.0,0.0,1.0,0.0,0.0,0.9861,0.013900000000000023,0.0,0.0,1.0,0.0,0.0,0.0,0.95485,0.04515000000000002,0.0,0.0,1.0,0.0,0.0,0.0,0.37173999999999996,0.62826,0.0,0.0
BI,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7049400000000006,0.29505999999999943,0.0,0.81609,0.0,0.18391000000000002,0.0,0.0,0.0,0.0,1.0,0.9884200000000001,0.011579999999999924,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BIA,0,0.9825900000000001,0.0,0.017409999999999926,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9310899999999998,0.06891000000000025,0.0,0.0,0.9825900000000001,0.0,0.017409999999999926,0.0,0.0,1.0,0.0,0.0
BJ,0,0.9373199999999997,0.06268000000000029,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.81609,0.18391000000000002,0.0,0.0,0.9990600000000001,0.0009399999999999409,0.0,0.0,0.0,0.0,1.0,0.0,0.9373199999999997,0.06268000000000029,0.0,0.0,0.0,1.0,0.0,0.0
BJA,0,0.8485800000000001,0.1514199999999999,0.0,0.0,0.3666999999999998,0.6333000000000002,0.0,0.0,1.0,0.0,0.0,0.76722,0.23278,0.0,0.0,0.9990600000000001,0.0009399999999999409,0.0,0.0,0.0,1.0,0.0,0.0,0.8485800000000001,0.1514199999999999,0.0,0.0,0.27562,0.72438,0.0,0.0
BK,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9151599999999998,0.08484000000000025,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BKA,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.97818,0.02181999999999995,0.0,0.0,0.9990600000000001,0.0009399999999999409,0.0,0.0,0.0,0.0,0.30356000000000094,0.6964399999999991,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BL,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9906000000000001,0.009399999999999853,0.0,0.0,0.9990600000000001,0.0009399999999999409,0.0,0.0,0.0,0.42405000000000026,0.5759499999999997,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BLA,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9990600000000001,0.0009399999999999409,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BM,1,1.0,0.0,0.0,0.0,0.0,0.3843600000000009,0.6156399999999991,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9884200000000001,0.011579999999999924,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BMA,0,1.0,0.0,0.0,0.0,0.02937999999999974,0.9706200000000003,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9990600000000001,0.0009399999999999409,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BN,0,0.89601,0.10399000000000003,0.0,0.0,0.30108999999999986,0.6989100000000001,0.0,0.0,1.0,0.0,0.0,0.7926899999999999,0.2073100000000001,0.0,0.0,0.9990600000000001,0.0009399999999999409,0.0,0.0,0.0,1.0,0.0,0.0,0.89601,0.10399000000000003,0.0,0.0,0.20425000000000004,0.79575,0.0,0.0
BNA,0,1.0,0.0,0.0,0.0,0.40873000000000026,0.5912699999999997,0.0,0.0,1.0,0.0,0.0,0.8997000000000002,0.10029999999999983,0.0,0.0,0.9990600000000001,0.0009399999999999409,0.0,0.0,0.44643999999999995,0.55356,0.0,0.0,1.0,0.0,0.0,0.0,0.3213400000000002,0.6786599999999998,0.0,0.0
BO,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9951000000000003,0.004899999999999682,0.0,0.0,0.9990600000000001,0.0009399999999999409,0.0,0.0,0.0,0.9820500000000001,0.01794999999999991,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BP,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.87513,0.12487000000000004,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BQ,0,0.8933099999999996,0.1066900000000004,0.0,0.0,0.20911000000000035,0.7908899999999996,0.0,0.0,1.0,0.0,0.0,0.8149199999999999,0.18508000000000013,0.0,0.0,0.9990600000000001,0.0009399999999999409,0.0,0.0,0.0,1.0,0.0,0.0,0.8933099999999996,0.1066900000000004,0.0,0.0,0.10417000000000032,0.8958299999999997,0.0,0.0
BR,0,0.96,0.0,0.040000000000000036,0.0,0.0,0.9881700000000002,0.011829999999999785,0.0,0.5429400000000006,0.45705999999999936,0.0,0.4055100000000005,0.0,0.5944899999999995,0.0,1.0,0.0,0.0,0.0,0.9429699999999999,0.057030000000000136,0.0,0.0,0.96,0.0,0.040000000000000036,0.0,0.0,0.7921500000000004,0.20784999999999965,0.0
BS,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330699999999998,0.06693000000000016,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BT,0,0.5097300000000011,0.0,0.4902699999999989,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.86917,0.13083,0.0,0.0,0.5097300000000011,0.0,0.4902699999999989,0.0,0.0,1.0,0.0,0.0
BU,0,0.9924900000000001,0.0,0.007509999999999906,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9310899999999998,0.06891000000000025,0.0,0.0,0.9924900000000001,0.0,0.007509999999999906,0.0,0.0,1.0,0.0,0.0
BV,0,1.0,0.0,0.0,0.0,0.10938999999999988,0.8906100000000001,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9990600000000001,0.0009399999999999409,0.0,0.0,0.0925600000000002,0.9074399999999998,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BW,0,1.0,0.0,0.0,0.0,0.28317999999999977,0.7168200000000002,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9990600000000001,0.0009399999999999409,0.0,0.0,0.5180799999999999,0.4819200000000001,0.0,0.0,1.0,0.0,0.0,0.0,0.18472,0.81528,0.0,0.0
BX,0,0.0,0.0,1.0,0.0,0.0,0.9460500000000005,0.0539499999999995,0.0,1.0,0.0,0.0,0.3441299999999998,0.0,0.6558700000000002,0.0,0.9990600000000001,0.0009399999999999409,0.0,0.0,0.9884200000000001,0.011579999999999924,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7423799999999998,0.2576200000000002,0.0
BY,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9990600000000001,0.0009399999999999409,0.0,0.0,0.0,0.0,0.5966900000000006,0.4033099999999994,1.0,0.0,0.0,0.0,0.0,0.8937600000000003,0.10623999999999967,0.0
BZ,0,0.9194100000000001,0.08058999999999994,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.8043899999999997,0.19561000000000028,0.0,0.0,0.9990600000000001,0.0009399999999999409,0.0,0.0,0.0,0.0,0.0,1.0,0.9194100000000001,0.08058999999999994,0.0,0.0,0.0,0.9222000000000001,0.07779999999999987,0.0
C,0,0.2932800000000011,0.0,0.7067199999999989,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9990600000000001,0.0009399999999999409,0.0,0.0,0.9350499999999999,0.06495000000000006,0.0,0.0,0.2932800000000011,0.0,0.7067199999999989,0.0,0.0,1.0,0.0,0.0
CA,1,0.47850000000000037,0.0,0.5214999999999996,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9568300000000001,0.04316999999999993,0.0,0.0,0.47850000000000037,0.0,0.5214999999999996,0.0,0.0,1.0,0.0,0.0
CAA,1,0.8342700000000001,0.16572999999999993,0.0,0.0,0.35284000000000004,0.64716,0.0,0.0,1.0,0.0,0.0,0.9439799999999998,0.05602000000000018,0.0,0.0,1.0,0.0,0.0,0.0,0.9211900000000002,0.07880999999999982,0.0,0.0,0.8342700000000001,0.16572999999999993,0.0,0.0,0.40269999999999984,0.5973000000000002,0.0,0.0
CB,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9990600000000001,0.0009399999999999409,0.0,0.0,0.0,0.7674900000000004,0.23250999999999955,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CBA,0,0.95892,0.041080000000000005,0.0,0.0,0.1506999999999996,0.8493000000000004,0.0,0.0,1.0,0.0,0.0,0.8304899999999997,0.16951000000000027,0.0,0.0,0.9990600000000001,0.0009399999999999409,0.0,0.0,0.0,1.0,0.0,0.0,0.95892,0.041080000000000005,0.0,0.0,0.04080999999999957,0.9591900000000004,0.0,0.0
CC,1,1.0,0.0,0.0,0.0,0.37461999999999973,0.6253800000000003,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9231699999999998,0.07683000000000018,0.0,0.0,1.0,0.0,0.0,0.0,0.2864200000000001,0.7135799999999999,0.0,0.0
