Resource5_560925,Label_0,(case) last_phase_Vergunning verleend,(case) SUMleges_Large,Duration_2_L,Cumduration_2_S,Duration_2_M,Case ID,Cumduration_3_M,(case) includes_subcases_None,(case) casestatus_O,monitoringResource1_560872,monitoringResource3_2670601,Resource1_560925,Cumduration_2_M,(case) requestcomplete_True,Cumduration_2_L,monitoringResource1_560925,monitoringResource2_2670601,Resource3_560872,(case) includes_subcases_J,(case) termname_Termijn bezwaar en beroep 1,Cumduration_5_M,Resource5_560872,monitoringResource3_3273854,Cumduration_4_S,(case) parts_Bouw,Duration_2_S,Resource2_560872,Cumduration_3_L,Cumduration_5_S,(case) caseprocedure_Uitgebreid,(case) caseprocedure_None,Activity2_phase application received,monitoringResource4_560872,monitoringResource1_560912,monitoringResource3_560464,Resource4_560912,(case) SUMleges_Meidum,Activity1_register submission date request,Label,Label_1,Cumduration_4_M,(case) responsible_actor_560464.0,(case) responsible_actor_560912.0,(case) termname_None,Resource1_560872,Activity4_reception through OLO,Resource2_560925,Cumduration_3_S,Resource3_560912,(case) SUMleges_Short,Resource4_560872,monitoringResource2_560872,Activity2_OLO messaging active,Resource1_560912,(case) responsible_actor_4901428.0,(case) requestcomplete_False,Activity4_send confirmation receipt,Resource2_560912,monitoringResource4_2670601,Activity2_regular procedure without MER,monitoringResource5_560872,Duration_4_M,Resource4_560925,Resource5_560912,monitoringResource3_560872,Activity5_send confirmation receipt,Duration_3_M,(case) termname_Termijn tot besluit,Resource3_560925,Activity3_phase application received,monitoringResource4_3273854,monitoringResource5_3273854,(case) last_phase_Beschikking verzonden,(case) casestatus_G,Activity2_enter senddate acknowledgement,monitoringResource5_2670601,monitoringResource2_3273854,(case) includes_subcases_N,Duration_5_M
0,1,1,0,0,0,1,2833073,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1
1,1,1,0,0,0,1,2838476,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1
1,1,0,0,0,0.10885,0.89115,2839858,0.96306,0,0,0,0,1,0.89115,1,0,1,0,0,0,0,0.94605,0,0,0.01795,0,0.10885,0,0,0.05395,0,1,0,0,0,0,0,0,1,0,0,0.98205,0,0,1,0,1,1,0.03694,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1
1,1,0,0,0,0.10885,0.89115,2840219,0.96648,0,0,0,0,1,0.89115,1,0,1,0,0,0,0,0.94794,0,0,0.01561,0,0.10885,0,0,0.05206,0,1,0,0,0,0,0,0,1,0,0,0.98439,0,0,1,0,1,1,0.03352,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1
1,1,0,0,0,0.10885,0.89115,2840553,0.96891,0,0,0,0,1,0.89115,1,0,1,0,0,0,0,0.94938,0,0,0.01399,0,0.10885,0,0,0.05062,0,1,0,0,0,0,0,0,1,0,0,0.98601,0,0,1,0,1,1,0.03109,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1
0,1,1,1,0,0,1,2846764,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
0,1,1,0,0,0,1,2847199,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,1,1,1,0,0,1,2847603,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
0,1,1,0,0,0,1,2848063,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
0,1,1,1,0,0,1,2851738,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
0,1,0,1,0,0,1,2852274,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1
0,1,0,0,0,0,1,2854000,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
1,1,1,1,0,0.10885,0.89115,2857143,0.93678,0,0,0,0,1,0.89115,1,0,1,0,0,1,0,0.93003,0,0,0.03586,1,0.10885,0,0,0.06997,0,1,0,0,0,1,0,0,1,0,0,0.96414,1,0,0,0,1,1,0.06322,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1
0,1,0,0,0,0,1,2866083,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
0,1,1,0,0,0,1,2868276,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
0,1,1,0,0,0,1,2868714,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
0,1,0,0,0,0,1,2871542,0.60297,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0.39703,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0
0,1,0,0,0,0,1,2872584,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1
1,1,0,0,0,0,1,2873491,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1
0,0,0,0,0,0,1,2874224,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1
1,1,1,0,0,0,1,2875758,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1
0,1,0,0,0,0.37444,0.62556,2876753,0.73347,0,0,0,0,1,0.62556,1,0,1,0,0,0,0,1,1,0,0.175,1,0.37444,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.825,0,1,1,0,1,0,0.26653,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,1
0,1,0,0,0,0,0,2879904,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1
0,1,1,0,0,0.10885,0.89115,2883285,0,0,0,1,0,0,0.89115,1,0,0,0,1,0,0,0.35772,1,0,0,0,0.10885,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0.11823,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
1,1,1,0,0,0,1,2884070,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1
0,1,1,0,0,0,1,2887729,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0.21095,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
0,0,1,0,0,0,1,2887943,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1
1,1,0,0,0,0,1,2890437,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1
1,1,1,0,0.24583,0,0.75417,2891205,0.881880000000001,0,0,0,0,1,0.75417,1,0.24583,1,0,0,0,0,1,0,0,0,0,0,0,0.118119999999999,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,1
1,1,1,0,0,0.10885,0.89115,2891719,0.95694,0,1,0,0,1,0.89115,1,0,1,0,0,1,0,0.94236,0,0,0.02209,0,0.10885,0,0,0.05764,0,1,0,0,0,1,0,1,1,0,0,0.97791,1,0,1,0,1,1,0.04306,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1
0,0,1,0,0,0.10885,0.89115,2899336,0.8907,0,0,1,0,0,0.89115,1,0,0,0,0,1,0,0.94578,1,0,0.01813,1,0.10885,1,0,0.05422,0,1,0,0,0,0,0,0,1,1,1,0.98187,0,0,1,1,0,0,0.1093,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1
0,1,0,0,0.637149999999999,0,0.362850000000001,2900428,0.54807,0,0,1,0,0,0.362850000000001,1,0.637149999999999,0,0,1,0,0,1,1,0,0,0,0,1,0.45193,0,0,1,0,1,0,0,0,0,1,0,0,0.996090000000001,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,1
0,1,0,0,0,0,1,2901823,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1
0,0,1,0,0,0,1,2902319,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1
0,0,1,1,0,0,1,2902671,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1
0,1,1,0,0,0,1,2904023,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0.6666
0,1,0,0,0,0.10885,0.89115,2911919,0.96279,0,1,0,0,0,0.89115,1,0,0,0,0,1,0,0.94578,0,0,0.01813,1,0.10885,0,0,0.05422,0,1,0,0,1,0,1,0,1,0,0,0.98187,0,0,0,0,1,0,0.03721,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1
1,1,1,0,0,0.24232,0.75768,2917203,0.8286,0,0,0,0,1,0.75768,1,0,1,0,0,1,0,0.86487,0,0,0.10984,1,0.24232,0,0,0.13513,0,1,0,0,0,1,0,1,1,0,0,0.89016,0,0,1,0,1,1,0.1714,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1
0,1,0,0,0,0.24232,0.75768,2917783,0.82257,0,0,1,0,0,0.75768,1,0,0,0,1,1,0,0.86127,1,0,0.11398,1,0.24232,1,0,0.13873,1,0,0,1,0,0,0,0,1,0,0,0.88602,0,1,1,1,1,0,0.17743,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1
0,1,0,0,0,0,1,2928203,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1
0,1,0,0,0,0.2866,0.7134,2929114,0.73905,0,0,1,0,0,0.7134,1,0,0,0,1,1,0,0.81132,1,0,0.17068,0,0.2866,1,0,0.18868,1,0,0,1,0,0,0,1,0,0,0,0.82932,0,0,1,1,1,0,0.26095,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1
1,0,1,0,0,0,1,2931527,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1
0,0,1,0,0,0,1,2937163,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
0,1,1,0,0,0.10885,0.89115,2937457,0.9519,0,0,1,0,0,0.89115,1,0,0,0,1,0,0,0.93948,1,0,0.0256,0,0.10885,1,0,0.06052,0,1,0,1,0,1,0,0,1,0,0,0.9744,0,0,1,1,1,0,0.0481,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1
0,1,1,1,0,0,1,2938665,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
0,1,0,0,0,0.24232,0.75768,2941603,1,0,0,1,0,0,0.75768,1,0,0,0,1,0,0,1,1,0,0,0,0.24232,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0.98448,0,0,0,0,0,0,1,0,0,0,1,1
0,1,1,1,0,0.24232,0.75768,2946363,0.77622,0,1,0,0,1,0.75768,1,0,1,0,0,1,0,0.83292,0,0,0.14566,1,0.24232,0,0,0.16708,0,0,0,0,0,0,0,0,1,0,0,0.85434,1,0,1,0,0,1,0.22378,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0.24232,0.75768,2952306,0.77622,0,0,1,0,0,0.75768,1,0,0,0,1,0,0,0.86253,1,0,0,0,0.24232,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0.22378,0,0,1,1,0,0,1,0,0,0,0,0,1,0.24864,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0.737880000000001
0,1,1,0,0,0.10885,0.89115,2953434,0.9501,0,0,1,0,0,0.89115,1,0,0,0,1,1,0,0.93822,1,0,0.02686,1,0.10885,1,0,0.06178,0,1,0,1,0,1,0,1,1,0,0,0.97314,0,0,1,1,1,0,0.0499,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1
1,0,1,1,0,0.10885,0.89115,2955625,0.96648,0,0,0,0,1,0.89115,1,0,1,0,0,1,0,0.94947,0,0,0.01561,0,0.10885,0,0,0.05053,0,1,0,0,0,1,0,0,1,1,1,0.98439,0,0,1,0,1,1,0.03352,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1
0,1,1,1,0,0.24232,0.75768,2956643,0.82293,0,0,1,0,0,0.75768,1,0,0,0,1,1,0,0.86181,1,0,0.11371,0,0.24232,1,0,0.13819,0,1,0,1,0,1,0,0,1,0,0,0.88629,0,0,1,1,1,0,0.17707,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1
0,1,1,1,0,0,1,2958289,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1
0,1,1,1,0,0,1,2959106,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1
0,1,1,0,0,0,1,2959723,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1
1,1,1,0,0,0,1,2961386,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
